TEZPUR UNIVERSITY,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Faculty Name:,,,,,S S Satapathy,,,,,,,,,,,,
Branch:,,FET and Design,,,,,,,,,,SESSION:,,Autumn 2024,,,
Programme:,,B. Tech,,,,Year:,,I,,,,SEMESTER:,,1,,,
Course:,,Programming for Problem Solving,,,,,,,,,COURSE CODE:,,,CSBT100,,,
PO ATTAINMENT USING CO (DIRECT METHOD),,,,,,,,,,,,,,,,,
CO PO MAPPING,,,,,,,,,,,,,,,,,
,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,PSO1,PSO2,PSO3,,
CO1,2,2,,,1,,,,,,1,1,1,,1,,
CO2,2,3,2,1,1,,,,,1,,1,1,,1,,
CO3,1,1,2,,1,1,,1,,,,1,2,1,1,,
CO4,1,1,2,1,1,1,,1,,1,1,1,2,1,1,,
CO5,,,,,,,,,,,,,,,,,
WT. AVG,6,7,6,2,4,2,0,2,0,2,2,4,6,2,4,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
COMPUTATION BY MAPPED CO-PO (3 POINT SCALE),,,,,,,,,,,,,,,,,
,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,PSO1,PSO2,PSO3,CO ATTNT(Norm),CO ATTNT(Norm)
CO1,2,2,,,1,,,,,,1,1,1,,1,1,3
CO2,0,0,0,0,0,,,,,0,,0,0,,0,0,0
CO3,0,0,0,,0,0,,0,,,,0,0,0,0,0,0
CO4,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0
CO5,,,,,,,,,,,,,,,,,
AVG,0.5,0.5,0,0,0.25,0,,0,,0,0.5,0.25,0.25,0,0.25,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,OVERALL PO ATTAINMENT IN 3 POINT SCALE,,,,,,0.35714285714285715,,
COMPUTATION BY MAPPED CO-PO (PERCENTAGE),,,,,,,,,,,,,,,,,
,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,PSO1,PSO2,PSO3,CO ATTNT(Norm),CO ATTNT(Norm)
CO1,143.2407407407407,143.2407407407407,,,71.62037037037035,,,,,,71.62037037037035,71.62037037037035,71.62037037037035,,71.62037037037035,71.62037037037035,71.62037037037035
CO2,95.46296296296298,143.19444444444446,95.46296296296298,47.73148148148149,47.73148148148149,,,,,47.73148148148149,,47.73148148148149,47.73148148148149,,47.73148148148149,47.73148148148149,47.73148148148149
CO3,45.952380952380935,45.952380952380935,91.90476190476187,,45.952380952380935,45.952380952380935,,45.952380952380935,,,,45.952380952380935,91.90476190476187,45.952380952380935,45.952380952380935,45.952380952380935,45.952380952380935
CO4,27.978395061728392,27.978395061728392,55.956790123456784,27.978395061728392,27.978395061728392,27.978395061728392,,27.978395061728392,,27.978395061728392,27.978395061728392,27.978395061728392,55.956790123456784,27.978395061728392,27.978395061728392,27.978395061728392,27.978395061728392
CO5,,,,,,,,,,,,,,,,,
SUM,312.63447971781306,360.3659611992945,243.32451499118164,75.70987654320987,193.28262786596116,73.93077601410933,0,73.93077601410933,0,75.70987654320987,99.59876543209874,193.28262786596116,267.2134038800705,73.93077601410933,193.28262786596116,,
WTG,6,7,6,2,4,2,0,2,0,2,2,4,6,2,4,,
AVG,52.10574661963551,51.48085159989921,40.55408583186361,37.85493827160494,48.32065696649029,36.96538800705466,,36.96538800705466,,37.85493827160494,49.79938271604937,48.32065696649029,44.53556731334508,36.96538800705466,48.32065696649029,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,OVERALL PO ATTAINMENT IN PERCENTAGE,,,,,,43.84951119574135,,
